transaction_id,amount,location,location_match,previous_fraud,payment_method,device_type,transactions_last_1h,transactions_last_24h,transaction_hour,merchant_category,account_age_days,is_international,is_fraud
TXN00000001,1381.6,Hyderabad,True,0,upi,mobile,1,5,7,Travel,1109,0,0
TXN00000002,687.13,Ahmedabad,True,0,wallet,mobile,0,9,3,Utilities,472,0,0
TXN00000003,1631.2,Ahmedabad,True,0,netbanking,mobile,2,5,16,Travel,1924,0,0
TXN00000004,4272.46,Bangalore,True,0,netbanking,desktop,1,8,14,Utilities,335,0,0
TXN00000005,618.34,Chennai,True,0,card,desktop,5,9,19,Travel,333,1,0
TXN00000006,618.35,Bangalore,True,0,upi,mobile,3,10,0,Fashion,1601,0,0
TXN00000007,4544.83,Chennai,True,0,upi,mobile,3,10,19,Travel,1220,0,0
TXN00000008,1860.85,Hyderabad,True,0,netbanking,desktop,3,6,19,Grocery,1122,0,0
TXN00000009,477.32,Ahmedabad,False,0,upi,mobile,2,11,7,Travel,1885,0,0
TXN00000010,1453.06,Hyderabad,True,0,upi,mobile,4,8,19,Utilities,1827,0,0
TXN00000011,480.51,Chennai,True,0,card,mobile,2,7,9,Fashion,1956,0,0
TXN00000012,479.29,Hyderabad,True,0,upi,mobile,0,7,3,Entertainment,1014,0,0
TXN00000013,1043.95,Delhi,True,0,card,desktop,0,6,0,Electronics,1899,1,0
TXN00000014,97.51,Pune,True,0,card,mobile,0,8,11,Entertainment,919,0,0
TXN00000015,119.97,Chennai,True,0,card,mobile,3,7,7,Utilities,664,0,0
TXN00000016,430.99,Pune,True,0,netbanking,mobile,1,7,19,Electronics,1441,0,0
TXN00000017,262.56,Hyderabad,True,0,upi,desktop,1,10,14,Travel,1134,0,0
TXN00000018,1130.35,Chennai,True,0,upi,mobile,1,7,0,Utilities,974,0,0
TXN00000019,294.65,Chennai,True,0,upi,desktop,3,13,8,Food,670,0,0
TXN00000020,169.2,Ahmedabad,False,0,wallet,mobile,1,10,11,Entertainment,1171,0,0
TXN00000021,4011.12,Hyderabad,True,0,upi,mobile,3,6,2,Fashion,894,0,0
TXN00000022,624.07,Ahmedabad,True,0,upi,mobile,1,7,21,Utilities,379,0,0
TXN00000023,861.69,Delhi,True,0,card,tablet,2,4,17,Food,90,0,0
